-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 10/01/2017 through 10/01/2022 
Location: Latitude  24.9122   Longitude 66.7099 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 53.05 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M     MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,HR,WS10M,WD10M,WS50M,WD50M
2017,10,1,4,2.81,287.78,3.86,288.66
2017,10,1,5,2.66,283.59,3.57,284.43
2017,10,1,6,2.94,276.41,3.57,277.03
2017,10,1,7,3.52,269.36,3.83,269.65
2017,10,1,8,3.92,263.58,4.19,264.12
2017,10,1,9,4.37,260.44,4.63,261.36
2017,10,1,10,4.67,258.13,4.89,259.41
2017,10,1,11,4.97,254.5,5.22,256.07
2017,10,1,12,5.39,249.99,5.69,251.42
2017,10,1,13,5.69,245.65,6.01,246.9
2017,10,1,14,5.75,241.76,6.1,242.78
2017,10,1,15,5.72,237.09,6.13,237.75
2017,10,1,16,5.68,232.09,6.23,232.38
2017,10,1,17,5.34,227.37,6.4,227.77
2017,10,1,18,5.14,225.31,6.41,225.79
2017,10,1,19,4.72,228.42,6.2,229.04
2017,10,1,20,4.45,235.0,6.12,235.82
2017,10,1,21,4.45,240.64,6.21,241.5
2017,10,1,22,4.63,244.3,6.33,245.02
2017,10,1,23,4.72,247.09,6.46,247.77
2017,10,2,0,4.89,251.28,6.66,251.97
2017,10,2,1,4.84,254.37,6.69,255.12
2017,10,2,2,4.55,255.99,6.48,256.82
2017,10,2,3,4.1,257.34,6.07,258.18
2017,10,2,4,3.59,257.3,5.41,257.75
2017,10,2,5,3.15,252.69,4.73,252.91
2017,10,2,6,3.47,244.7,4.08,245.55
2017,10,2,7,3.41,238.97,3.68,239.79
2017,10,2,8,3.26,232.88,3.42,233.26
2017,10,2,9,3.18,225.1,3.28,225.0
2017,10,2,10,3.12,217.99,3.21,216.9
2017,10,2,11,3.37,211.44,3.43,209.19
2017,10,2,12,3.94,207.28,4.03,204.63
2017,10,2,13,4.48,204.96,4.63,202.63
2017,10,2,14,4.92,203.1,5.11,201.15
2017,10,2,15,5.3,201.27,5.56,199.71
2017,10,2,16,5.6,199.72,6.06,198.81
2017,10,2,17,5.56,198.87,6.4,198.57
2017,10,2,18,5.15,198.11,6.21,198.02
2017,10,2,19,4.48,198.4,5.68,198.68
2017,10,2,20,3.8,201.23,5.15,201.82
2017,10,2,21,3.29,207.23,4.63,207.78
